name,id,waterbody,month,year,Lat,Long,type,turbidity,SAL,WT
P48 Lassan,111034806,Peenestrom,3,2005,53.96667,13.891671,Coast,0.6,0.4,3.8
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,3,2005,54.20333,13.905002,Coast,3.395,7.75,0.65
RB2 Vitte oe.,112190202,Vitter Bodden,3,2005,54.57,13.131672,Coast,2.2,8.5,4.6
RB3 Bugspitze s.,112190309,Rassower Strom,3,2005,54.55333,13.178332,Coast,2.4125,8.5,3.9
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,3,2005,54.56333,13.293332,Coast,1.411,8,3.9
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,3,2005,54.54333,13.426672,Coast,1,8.25,2.95
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,3,2005,54.50667,13.490002,Coast,0.98,8,2.85
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,3,2005,54.43167,13.491672,Coast,0.3,4.4,5
RB1 Schaprode w.,112400185,Schaproder Bodden,3,2005,54.515,13.125002,Coast,2.39090909090909,8.9,4.4
DB1 Pramort,103050101,Barther Fahrwasser,4,2005,54.42,12.926671,Coast,1.35,7.7,9
DB2 Sundische Wiese,103050208,Grabow,4,2005,54.39167,12.838331,Coast,0.75,7,9.1
DB6 Barth oe.,103050603,Barther Bodden,4,2005,54.395001,12.750001,Coast,0.52,6.7,8.9
DB10 Bodstedt n.,103051008,Bodstedter Bodden,4,2005,54.395001,12.623331,Coast,0.35,5.6,10.9
DB16 Saal nw.,103051606,Saaler Bodden,4,2005,54.335001,12.448331,Coast,0.2,3.9,10.8
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,4,2005,54.40167,13.105001,Coast,1.43787878787879,7.75,8.31666666666667
GB2 I.Vilm s.,105010285,Greifswalder Bodden,4,2005,54.26667,13.516671,Coast,1.53,7.35,7.8
GB3 Daenische Wiek n.,105010306,Daenische Wiek,4,2005,54.15,13.483331,Coast,1.61428571428571,7.22777777777778,6.99708333333333
GB7 Struck,105010701,Greifswalder Bodden,4,2005,54.20667,13.653331,Coast,1.575,6.95,8.4
GB19 Zentralbereich,105011907,Greifswalder Bodden,4,2005,54.20667,13.566671,Coast,1.53125,6.55,8.4
S66 Stralsund,109016609,Andershofer Bucht,4,2005,54.28667,13.131671,Coast,1.16875,7.6,9
GB10 Ruden s.,111021001,Greifswalder Bodden,4,2005,54.18833,13.775001,Coast,1.29375,6.8,8.05
AW1 Trockenort,111030108,Achterwasser,4,2005,54.01667,13.958331,Coast,0.57,1.75,11.2
P20 Peenemuende s.,111032085,Peenestrom,4,2005,54.121,13.773,Coast,1.11666666666667,1.95,11
P42 Wolgast s.,111034208,Peenestrom,4,2005,54.023358,13.760763,Coast,0.93,2,11.3
P48 Lassan,111034806,Peenestrom,4,2005,53.96667,13.891671,Coast,0.6,1.7,11.6
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,4,2005,54.20333,13.905002,Coast,3.395,6.8,7.4
RB2 Vitte oe.,112190202,Vitter Bodden,4,2005,54.57,13.131672,Coast,2.2,8.7,8.8
RB3 Bugspitze s.,112190309,Rassower Strom,4,2005,54.55333,13.178332,Coast,2.4125,8.5,9.2
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,4,2005,54.56333,13.293332,Coast,1.411,8.4,9.4
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,4,2005,54.54333,13.426672,Coast,1,8.15,9.7
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,4,2005,54.50667,13.490002,Coast,0.98,8.1,9.3
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,4,2005,54.43167,13.491672,Coast,0.3,4.5,10
RB1 Schaprode w.,112400185,Schaproder Bodden,4,2005,54.515,13.125002,Coast,2.39090909090909,7.9,8.9
DB1 Pramort,103050101,Barther Fahrwasser,5,2005,54.42,12.926671,Coast,1.35,7.2,11.4
DB2 Sundische Wiese,103050208,Grabow,5,2005,54.39167,12.838331,Coast,0.75,7,11.5
DB6 Barth oe.,103050603,Barther Bodden,5,2005,54.395001,12.750001,Coast,0.52,5.8,11.4
DB10 Bodstedt n.,103051008,Bodstedter Bodden,5,2005,54.395001,12.623331,Coast,0.35,4.8,12.6
DB16 Saal nw.,103051606,Saaler Bodden,5,2005,54.335001,12.448331,Coast,0.2,4.1,11.7
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,5,2005,54.40167,13.105001,Coast,1.43787878787879,6.8,11
GB2 I.Vilm s.,105010285,Greifswalder Bodden,5,2005,54.26667,13.516671,Coast,1.53,6.9,11.9
GB3 Daenische Wiek n.,105010306,Daenische Wiek,5,2005,54.15,13.483331,Coast,1.61428571428571,7,11.75
GB7 Struck,105010701,Greifswalder Bodden,5,2005,54.20667,13.653331,Coast,1.575,6.75,11.6
GB19 Zentralbereich,105011907,Greifswalder Bodden,5,2005,54.20667,13.566671,Coast,1.53125,7.1,11.475
S66 Stralsund,109016609,Andershofer Bucht,5,2005,54.28667,13.131671,Coast,1.16875,7.7,12.4
GB10 Ruden s.,111021001,Greifswalder Bodden,5,2005,54.18833,13.775001,Coast,1.29375,6.95,11
AW1 Trockenort,111030108,Achterwasser,5,2005,54.01667,13.958331,Coast,0.57,1.8,18.05
P20 Peenemuende s.,111032085,Peenestrom,5,2005,54.121,13.773,Coast,1.11666666666667,2.2,18.05
P42 Wolgast s.,111034208,Peenestrom,5,2005,54.023358,13.760763,Coast,0.93,1.95,18.15
P48 Lassan,111034806,Peenestrom,5,2005,53.96667,13.891671,Coast,0.6,1.6,18
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,5,2005,54.20333,13.905002,Coast,3.395,7.05,9.65
RB2 Vitte oe.,112190202,Vitter Bodden,5,2005,54.57,13.131672,Coast,2.2,8.4,11.8
RB3 Bugspitze s.,112190309,Rassower Strom,5,2005,54.55333,13.178332,Coast,2.4125,8.8,9.9
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,5,2005,54.56333,13.293332,Coast,1.411,8.3,12.1
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,5,2005,54.54333,13.426672,Coast,1,7.9,12
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,5,2005,54.50667,13.490002,Coast,0.98,8,12.1
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,5,2005,54.43167,13.491672,Coast,0.3,4.6,11.4
RB1 Schaprode w.,112400185,Schaproder Bodden,5,2005,54.515,13.125002,Coast,2.39090909090909,8,12.1
DB1 Pramort,103050101,Barther Fahrwasser,6,2005,54.42,12.926671,Coast,1.35,8.8,18
DB2 Sundische Wiese,103050208,Grabow,6,2005,54.39167,12.838331,Coast,0.75,7.3,18.2
DB6 Barth oe.,103050603,Barther Bodden,6,2005,54.395001,12.750001,Coast,0.52,6.3,18.3
DB10 Bodstedt n.,103051008,Bodstedter Bodden,6,2005,54.395001,12.623331,Coast,0.35,5.1,17.6
DB16 Saal nw.,103051606,Saaler Bodden,6,2005,54.335001,12.448331,Coast,0.2,4,17.8
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,6,2005,54.40167,13.105001,Coast,1.43787878787879,8.35,14.8
GB2 I.Vilm s.,105010285,Greifswalder Bodden,6,2005,54.26667,13.516671,Coast,1.53,6.9,14.85
GB3 Daenische Wiek n.,105010306,Daenische Wiek,6,2005,54.15,13.483331,Coast,1.61428571428571,6.65,15.1
GB7 Struck,105010701,Greifswalder Bodden,6,2005,54.20667,13.653331,Coast,1.575,7,13.9666666666667
GB19 Zentralbereich,105011907,Greifswalder Bodden,6,2005,54.20667,13.566671,Coast,1.53125,6.925,15.25
S66 Stralsund,109016609,Andershofer Bucht,6,2005,54.28667,13.131671,Coast,1.16875,8.3,15.4
GB10 Ruden s.,111021001,Greifswalder Bodden,6,2005,54.18833,13.775001,Coast,1.29375,6.85,13.8
AW1 Trockenort,111030108,Achterwasser,6,2005,54.01667,13.958331,Coast,0.57,1.935,19.234375
P20 Peenemuende s.,111032085,Peenestrom,6,2005,54.121,13.773,Coast,1.11666666666667,3.2025,19.3
P42 Wolgast s.,111034208,Peenestrom,6,2005,54.023358,13.760763,Coast,0.93,3.06,19.753125
P48 Lassan,111034806,Peenestrom,6,2005,53.96667,13.891671,Coast,0.6,1.6,20.18125
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,6,2005,54.20333,13.905002,Coast,3.395,7.4,18.05
RB2 Vitte oe.,112190202,Vitter Bodden,6,2005,54.57,13.131672,Coast,2.2,8.8,14
RB3 Bugspitze s.,112190309,Rassower Strom,6,2005,54.55333,13.178332,Coast,2.4125,8.2,17.15
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,6,2005,54.56333,13.293332,Coast,1.411,8.8,18.4
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,6,2005,54.54333,13.426672,Coast,1,8.1,19
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,6,2005,54.50667,13.490002,Coast,0.98,8.1,18.45
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,6,2005,54.43167,13.491672,Coast,0.3,4.9,15.5
RB1 Schaprode w.,112400185,Schaproder Bodden,6,2005,54.515,13.125002,Coast,2.39090909090909,8.6,14.3
DB1 Pramort,103050101,Barther Fahrwasser,7,2005,54.42,12.926671,Coast,1.35,8.1,17.3
DB2 Sundische Wiese,103050208,Grabow,7,2005,54.39167,12.838331,Coast,0.75,7.8,17.6
DB6 Barth oe.,103050603,Barther Bodden,7,2005,54.395001,12.750001,Coast,0.52,7,17.2
DB10 Bodstedt n.,103051008,Bodstedter Bodden,7,2005,54.395001,12.623331,Coast,0.35,5.5,20.2
DB16 Saal nw.,103051606,Saaler Bodden,7,2005,54.335001,12.448331,Coast,0.2,4.3,20
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,7,2005,54.40167,13.105001,Coast,1.43787878787879,7.8,22.85
GB2 I.Vilm s.,105010285,Greifswalder Bodden,7,2005,54.26667,13.516671,Coast,1.53,7.1,21.15
GB3 Daenische Wiek n.,105010306,Daenische Wiek,7,2005,54.15,13.483331,Coast,1.61428571428571,7.2,21.1
GB7 Struck,105010701,Greifswalder Bodden,7,2005,54.20667,13.653331,Coast,1.575,7.1,20.95
GB19 Zentralbereich,105011907,Greifswalder Bodden,7,2005,54.20667,13.566671,Coast,1.53125,7.075,21.5
S66 Stralsund,109016609,Andershofer Bucht,7,2005,54.28667,13.131671,Coast,1.16875,7.8,21.2
GB10 Ruden s.,111021001,Greifswalder Bodden,7,2005,54.18833,13.775001,Coast,1.29375,7,20.5
AW1 Trockenort,111030108,Achterwasser,7,2005,54.01667,13.958331,Coast,0.57,1.75,20.825
P20 Peenemuende s.,111032085,Peenestrom,7,2005,54.121,13.773,Coast,1.11666666666667,3.175,20.8
P42 Wolgast s.,111034208,Peenestrom,7,2005,54.023358,13.760763,Coast,0.93,3.05,21.05
P48 Lassan,111034806,Peenestrom,7,2005,53.96667,13.891671,Coast,0.6,1.3,21.1
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,7,2005,54.20333,13.905002,Coast,3.395,6.5,19.9
RB2 Vitte oe.,112190202,Vitter Bodden,7,2005,54.57,13.131672,Coast,2.2,9.4,23.1
RB3 Bugspitze s.,112190309,Rassower Strom,7,2005,54.55333,13.178332,Coast,2.4125,9.15,22.8
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,7,2005,54.56333,13.293332,Coast,1.411,8.7,22.7
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,7,2005,54.54333,13.426672,Coast,1,8.1,21.95
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,7,2005,54.50667,13.490002,Coast,0.98,8.1,21.5
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,7,2005,54.43167,13.491672,Coast,0.3,5.1,22.4
RB1 Schaprode w.,112400185,Schaproder Bodden,7,2005,54.515,13.125002,Coast,2.39090909090909,9.1,22.8
DB1 Pramort,103050101,Barther Fahrwasser,8,2005,54.42,12.926671,Coast,1.35,9.7,21.4
DB2 Sundische Wiese,103050208,Grabow,8,2005,54.39167,12.838331,Coast,0.75,8.5,20.5
DB6 Barth oe.,103050603,Barther Bodden,8,2005,54.395001,12.750001,Coast,0.52,7.7,21
DB10 Bodstedt n.,103051008,Bodstedter Bodden,8,2005,54.395001,12.623331,Coast,0.35,6.3,20.8
DB16 Saal nw.,103051606,Saaler Bodden,8,2005,54.335001,12.448331,Coast,0.2,4.2,20.3
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,8,2005,54.40167,13.105001,Coast,1.43787878787879,8.95,18.8
GB2 I.Vilm s.,105010285,Greifswalder Bodden,8,2005,54.26667,13.516671,Coast,1.53,7,19.5
GB3 Daenische Wiek n.,105010306,Daenische Wiek,8,2005,54.15,13.483331,Coast,1.61428571428571,7,19.4
GB7 Struck,105010701,Greifswalder Bodden,8,2005,54.20667,13.653331,Coast,1.575,7.05,19.3
GB19 Zentralbereich,105011907,Greifswalder Bodden,8,2005,54.20667,13.566671,Coast,1.53125,7.2,18.275
S66 Stralsund,109016609,Andershofer Bucht,8,2005,54.28667,13.131671,Coast,1.16875,9.4,17.6
GB10 Ruden s.,111021001,Greifswalder Bodden,8,2005,54.18833,13.775001,Coast,1.29375,6.7,19.55
AW1 Trockenort,111030108,Achterwasser,8,2005,54.01667,13.958331,Coast,0.57,1.55,18.9
P20 Peenemuende s.,111032085,Peenestrom,8,2005,54.121,13.773,Coast,1.11666666666667,1.55,18.9
P42 Wolgast s.,111034208,Peenestrom,8,2005,54.023358,13.760763,Coast,0.93,1.6,19
P48 Lassan,111034806,Peenestrom,8,2005,53.96667,13.891671,Coast,0.6,1.1,19
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,8,2005,54.20333,13.905002,Coast,3.395,7.15,19.25
RB2 Vitte oe.,112190202,Vitter Bodden,8,2005,54.57,13.131672,Coast,2.2,8.8,18.9
RB3 Bugspitze s.,112190309,Rassower Strom,8,2005,54.55333,13.178332,Coast,2.4125,8.65,20.3
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,8,2005,54.56333,13.293332,Coast,1.411,8.5,20.6
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,8,2005,54.54333,13.426672,Coast,1,8.1,20.4
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,8,2005,54.50667,13.490002,Coast,0.98,8.3,14.25
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,8,2005,54.43167,13.491672,Coast,0.3,5.5,18.4
RB1 Schaprode w.,112400185,Schaproder Bodden,8,2005,54.515,13.125002,Coast,2.39090909090909,8.6,18.6
DB1 Pramort,103050101,Barther Fahrwasser,9,2005,54.42,12.926671,Coast,1.35,8.1,14.3
DB2 Sundische Wiese,103050208,Grabow,9,2005,54.39167,12.838331,Coast,0.75,7.8,14.2
DB6 Barth oe.,103050603,Barther Bodden,9,2005,54.395001,12.750001,Coast,0.52,7.7,14.2
DB10 Bodstedt n.,103051008,Bodstedter Bodden,9,2005,54.395001,12.623331,Coast,0.35,5.6,15
DB16 Saal nw.,103051606,Saaler Bodden,9,2005,54.335001,12.448331,Coast,0.2,4.4,15.6
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,9,2005,54.40167,13.105001,Coast,1.43787878787879,8,15.575
GB2 I.Vilm s.,105010285,Greifswalder Bodden,9,2005,54.26667,13.516671,Coast,1.53,7.22,16.942
GB3 Daenische Wiek n.,105010306,Daenische Wiek,9,2005,54.15,13.483331,Coast,1.61428571428571,7.22777777777778,17.2505555555556
GB7 Struck,105010701,Greifswalder Bodden,9,2005,54.20667,13.653331,Coast,1.575,7.2,16.4
GB19 Zentralbereich,105011907,Greifswalder Bodden,9,2005,54.20667,13.566671,Coast,1.53125,7.4,16.45
S66 Stralsund,109016609,Andershofer Bucht,9,2005,54.28667,13.131671,Coast,1.16875,7.4,16.4
GB10 Ruden s.,111021001,Greifswalder Bodden,9,2005,54.18833,13.775001,Coast,1.29375,7,19.35
AW1 Trockenort,111030108,Achterwasser,9,2005,54.01667,13.958331,Coast,0.57,1.25,16
P20 Peenemuende s.,111032085,Peenestrom,9,2005,54.121,13.773,Coast,1.11666666666667,1.9,16.1
P42 Wolgast s.,111034208,Peenestrom,9,2005,54.023358,13.760763,Coast,0.93,1.75,16.05
P48 Lassan,111034806,Peenestrom,9,2005,53.96667,13.891671,Coast,0.6,1.2,16.1
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,9,2005,54.20333,13.905002,Coast,3.395,7.25,18.9
RB2 Vitte oe.,112190202,Vitter Bodden,9,2005,54.57,13.131672,Coast,2.2,8.8,17.2
RB3 Bugspitze s.,112190309,Rassower Strom,9,2005,54.55333,13.178332,Coast,2.4125,8.85,14.85
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,9,2005,54.56333,13.293332,Coast,1.411,8.9,14.9
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,9,2005,54.54333,13.426672,Coast,1,8.4,15.9
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,9,2005,54.50667,13.490002,Coast,0.98,8.55,12.5
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,9,2005,54.43167,13.491672,Coast,0.3,5.5,18.5
RB1 Schaprode w.,112400185,Schaproder Bodden,9,2005,54.515,13.125002,Coast,2.39090909090909,8.8,17.1
DB1 Pramort,103050101,Barther Fahrwasser,10,2005,54.42,12.926671,Coast,1.35,8.5,13.8
DB2 Sundische Wiese,103050208,Grabow,10,2005,54.39167,12.838331,Coast,0.75,8.3,13.9
DB6 Barth oe.,103050603,Barther Bodden,10,2005,54.395001,12.750001,Coast,0.52,8.5,14
DB10 Bodstedt n.,103051008,Bodstedter Bodden,10,2005,54.395001,12.623331,Coast,0.35,6.2,12.4
DB16 Saal nw.,103051606,Saaler Bodden,10,2005,54.335001,12.448331,Coast,0.2,4.3,12.7
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,10,2005,54.40167,13.105001,Coast,1.43787878787879,8.125,12.275
GB2 I.Vilm s.,105010285,Greifswalder Bodden,10,2005,54.26667,13.516671,Coast,1.53,7.2,12.05
GB3 Daenische Wiek n.,105010306,Daenische Wiek,10,2005,54.15,13.483331,Coast,1.61428571428571,7.2,12
GB7 Struck,105010701,Greifswalder Bodden,10,2005,54.20667,13.653331,Coast,1.575,7.3,12.1
GB19 Zentralbereich,105011907,Greifswalder Bodden,10,2005,54.20667,13.566671,Coast,1.53125,7.35,12
S66 Stralsund,109016609,Andershofer Bucht,10,2005,54.28667,13.131671,Coast,1.16875,7.6,11.3
GB10 Ruden s.,111021001,Greifswalder Bodden,10,2005,54.18833,13.775001,Coast,1.29375,6.5,11.35
AW1 Trockenort,111030108,Achterwasser,10,2005,54.01667,13.958331,Coast,0.57,1.6,11.05
P20 Peenemuende s.,111032085,Peenestrom,10,2005,54.121,13.773,Coast,1.11666666666667,6,11
P42 Wolgast s.,111034208,Peenestrom,10,2005,54.023358,13.760763,Coast,0.93,5.7,11.15
P48 Lassan,111034806,Peenestrom,10,2005,53.96667,13.891671,Coast,0.6,1.4,11.6
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,10,2005,54.20333,13.905002,Coast,3.395,7.4,12.2
RB2 Vitte oe.,112190202,Vitter Bodden,10,2005,54.57,13.131672,Coast,2.2,8.5,10.8
RB3 Bugspitze s.,112190309,Rassower Strom,10,2005,54.55333,13.178332,Coast,2.4125,8.45,11.7
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,10,2005,54.56333,13.293332,Coast,1.411,8.3,11.8
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,10,2005,54.54333,13.426672,Coast,1,8.1,12.75
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,10,2005,54.50667,13.490002,Coast,0.98,8.15,9.95
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,10,2005,54.43167,13.491672,Coast,0.3,5.8,12.3
RB1 Schaprode w.,112400185,Schaproder Bodden,10,2005,54.515,13.125002,Coast,2.39090909090909,7.9,11.5
DB1 Pramort,103050101,Barther Fahrwasser,11,2005,54.42,12.926671,Coast,1.35,7.7,8.4
